brachypodium_gene_id,arabidopsis_ortholog,gene_symbol,pathway,evidence,phenotype_associated,analysis_type,note
BRADI_5g19830v3,AT5G14660,BdLAZY1,Gravity Perception/Transduction,Ortholog of AtLAZY1/OsLAZY1; controls tiller angle and root gravitropic setpoint angle (GSA),gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_3g14220v3,AT1G72490,BdDRO1,Root Gravitropic Setpoint,Ortholog of DEEPER ROOTING 1 (DRO1); regulates root gravitropic curvature angle,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_2g22150v3,AT1G17400,BdSGR9,Amyloplast Sedimentation,Ortholog of SHOOT GRAVITROPISM 9; modulates statolith dynamics in endodermal cells,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_4g05670v3,AT2G46870,BdSGR2,Amyloplast Sedimentation,Ortholog of AtSGR2 (phospholipase A1); involved in vacuolar gravity sensing,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_4g11220v3,AT3G62980,BdTIR1,Auxin Receptor,Ortholog of AtTIR1; F-box auxin receptor mediating Aux/IAA degradation,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_1g64200v3,AT4G03190,BdAFB2,Auxin Receptor,Ortholog of AtAFB2; fast root growth response to auxin,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_2g49180v3,AT5G20730,BdARF7,Auxin Response Factor,Ortholog of AtARF7 (NPH4); transcriptional activator of asymmetric growth genes,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_3g58400v3,AT1G19220,BdARF19,Auxin Response Factor,Ortholog of AtARF19; cooperative control with ARF7 in root gravitropism,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_1g30140v3,AT4G14560,BdIAA14,Aux/IAA Repressor,Ortholog of AtIAA14 (SLR); repressor of lateral root and gravitropic bending,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_1g09410v3,AT5G51820,BdPGM1,Statolith Starch Biosynthesis,Ortholog of AtPGM1; phosphoglucomutase required for amyloplast starch synthesis in statocytes,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_2g16530v3,AT5G19220,BdADG1,Statolith Starch Biosynthesis,Ortholog of AtADG1 (ADP-glucose pyrophosphorylase); essential for gravity sensing,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_1g71830v3,AT5G66210,BdCPK28,Calcium Signaling Kinase,Calcium-dependent protein kinase identified by Su et al. 2023 as spaceflight-responsive in roots,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_4g30480v3,AT5G23060,BdCAS,Calcium Sensing Receptor,Chloroplastic/membrane calcium sensing regulator differentially expressed in spaceflight,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_3g08190v3,AT3G55950,BdCRK28,Receptor-like Kinase,Cysteine-rich receptor-like kinase linked to ROS/calcium signaling during gravity perturbation,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_5g21400v3,AT5G15060,BdCML24,Calmodulin-Like Protein,"Ortholog of AtCML24; touch, gravity and hormone-responsive calcium transducer",gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_2g39110v3,AT4G00290,BdMSL10,Mechanosensitive Ion Channel,Ortholog of AtMSL10; stretch-activated channel involved in mechanoperception and gravitropism,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_1g11420v3,AT2G39700,BdEXPA1,Cell Wall Loosening (Expansin),Alpha-expansin driving asymmetric cell elongation on the convex side of bending root/shoot,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_4g41200v3,AT4G14130,BdXTH1,Xyloglucan Transglucosylase,Cell wall remodeling enzyme differentially regulated during microgravity and gravistimulation,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_3g17860v3,AT4G25810,BdCSLD1,Cellulose/Glucan Synthase,Mixed-linkage glucan / cellulose synthase specific to monocot cell wall expansion,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
